tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-sex,attachment-type,deploy-on-latitude,deploy-on-longitude,deployment-id,manipulation-type,study-site,tag-manufacturer-name,tag-model,tag-readout-method
1995CA-ST10-04173,1995CA-Bmu-04173,Balaenoptera musculus,1995-09-18 20:30:00.000,1995-10-06 15:06:53.000,adult, ,implant,34.159,-120.099,1995CA-04173,none,"Santa Barbara Channel, CA","Telonics, Inc",ST10,satellite
1995CA-ST10-23040,1995CA-Bmu-23040,Balaenoptera musculus,1995-09-18 23:21:00.000,1995-12-08 14:01:00.000,adult, ,implant,34.152,-120.109,1995CA-23040,none,"Santa Barbara Channel, CA","Telonics, Inc",ST10,satellite
1995CA-ST6-00837,1995CA-Bmu-00837,Balaenoptera musculus,1995-09-19 22:28:00.000,1995-09-30 03:12:18.000,adult, ,implant,34.154,-120.046,1995CA-00837,none,"Santa Barbara Channel, CA","Telonics, Inc",ST6,satellite
1995CA-ST6-02082,1995CA-Bmu-02082,Balaenoptera musculus,1995-10-02 18:14:00.000,1995-10-14 15:33:52.000,adult, ,implant,33.994,-120.525,1995CA-02082,none,"San Miguel Island, CA","Telonics, Inc",ST6,satellite
1995CA-ST6-23031,1995CA-Bmu-23031,Balaenoptera musculus,1995-10-02 19:10:00.000,1995-10-07 21:16:21.000,adult, ,implant,34.022,-120.535,1995CA-23031,none,"San Miguel Island, CA","Telonics, Inc",ST6,satellite
1995CA-ST10-23043,1995CA-Bmu-23043,Balaenoptera musculus,1995-10-02 19:54:00.000,1995-10-04 10:29:57.000,adult, ,implant,34.031,-120.554,1995CA-23043,none,"San Miguel Island, CA","Telonics, Inc",ST10,satellite
1995CA-ST10-04176,1995CA-Bmu-04176,Balaenoptera musculus,1995-10-02 21:37:00.000,1995-11-14 01:55:03.000,adult, ,implant,34.046,-120.565,1995CA-04176,none,"San Miguel Island, CA","Telonics, Inc",ST10,satellite
1998CA-ST15-00824,1998CA-Bmu-00824,Balaenoptera musculus,1998-08-12 21:04:00.000,1999-04-10 11:55:00.000,adult, ,implant,37.01,-122.395,1998CA-00824,none,"Pt. Ano Nuevo, CA","Telonics, Inc",ST15,satellite
1998CA-ST15-00826,1998CA-Bmu-00826,Balaenoptera musculus,1998-08-12 22:50:00.000,1998-09-18 15:43:08.000,adult, ,implant,37.082,-122.432,1998CA-00826,none,"Pt. Ano Nuevo, CA","Telonics, Inc",ST15,satellite
1998CA-ST15-00833,1998CA-Bmu-00833,Balaenoptera musculus,1998-08-24 20:35:00.000,1998-09-09 15:44:26.000,adult, ,implant,33.192,-119.2,1998CA-00833,none,"San Nicolas Island, CA","Telonics, Inc",ST15,satellite
